participant_id,blue_count,chosen_face_color,chosen_face_id,chosen_face_is_good,composition,condition,debug_mode,images,informed,majority_group,outcome,phase,phase2_score,red_count,response,rt,task,time_elapsed,trial_index,trial_type
P1770483825689,0,red,60,True,"{'blue': 0, 'red': 4}",equal,True,"[{'color': 'red', 'id': 83, 'isGood': False, 'src': 'stimuli/faces/face_083_red.png'}, {'color': 'red', 'id': 60, 'isGood': True, 'src': 'stimuli/faces/face_060_red.png'}, {'color': 'red', 'id': 36, 'isGood': True, 'src': 'stimuli/faces/face_036_red.png'}, {'color': 'red', 'id': 67, 'isGood': True, 'src': 'stimuli/faces/face_067_red.png'}]",False,red,1,2,1,4,1,377,phase2_choice,118791,49,image-multi-choice
P1770483825689,3,blue,24,False,"{'blue': 3, 'red': 1}",equal,True,"[{'color': 'blue', 'id': 40, 'isGood': True, 'src': 'stimuli/faces/face_040_blue.png'}, {'color': 'blue', 'id': 24, 'isGood': False, 'src': 'stimuli/faces/face_024_blue.png'}, {'color': 'blue', 'id': 39, 'isGood': True, 'src': 'stimuli/faces/face_039_blue.png'}, {'color': 'red', 'id': 60, 'isGood': True, 'src': 'stimuli/faces/face_060_red.png'}]",False,red,1,2,2,1,1,397,phase2_choice,119189,50,image-multi-choice
P1770483825689,4,blue,90,True,"{'blue': 4, 'red': 0}",equal,True,"[{'color': 'blue', 'id': 40, 'isGood': True, 'src': 'stimuli/faces/face_040_blue.png'}, {'color': 'blue', 'id': 90, 'isGood': True, 'src': 'stimuli/faces/face_090_blue.png'}, {'color': 'blue', 'id': 37, 'isGood': True, 'src': 'stimuli/faces/face_037_blue.png'}, {'color': 'blue', 'id': 24, 'isGood': False, 'src': 'stimuli/faces/face_024_blue.png'}]",False,red,1,2,3,0,1,249,phase2_choice,119438,51,image-multi-choice
P1770483825689,1,red,67,True,"{'blue': 1, 'red': 3}",equal,True,"[{'color': 'red', 'id': 27, 'isGood': False, 'src': 'stimuli/faces/face_027_red.png'}, {'color': 'red', 'id': 67, 'isGood': True, 'src': 'stimuli/faces/face_067_red.png'}, {'color': 'red', 'id': 83, 'isGood': False, 'src': 'stimuli/faces/face_083_red.png'}, {'color': 'blue', 'id': 55, 'isGood': True, 'src': 'stimuli/faces/face_055_blue.png'}]",False,red,1,2,4,3,1,204,phase2_choice,119642,52,image-multi-choice
P1770483825689,2,red,27,False,"{'blue': 2, 'red': 2}",equal,True,"[{'color': 'red', 'id': 44, 'isGood': True, 'src': 'stimuli/faces/face_044_red.png'}, {'color': 'red', 'id': 27, 'isGood': False, 'src': 'stimuli/faces/face_027_red.png'}, {'color': 'blue', 'id': 40, 'isGood': True, 'src': 'stimuli/faces/face_040_blue.png'}, {'color': 'blue', 'id': 39, 'isGood': True, 'src': 'stimuli/faces/face_039_blue.png'}]",False,red,-5,2,-1,2,1,275,phase2_choice,119918,53,image-multi-choice
