participant_id,block,chosen_face_color,chosen_face_id,chosen_face_is_good,condition,debug_mode,images,informed,majority_group,outcome,phase,response,rt,task,time_elapsed,total_score,trial_in_block,trial_index,trial_type,plugin_version,stimulus
P1770483825689,,,,,equal,TRUE,,FALSE,red,,1,,,feedback,103133,,,23,html-keyboard-response,2.1.0,"
                <div class=""feedback positive"">
                    +1
                </div>
            "
P1770483825689,1,blue,20,TRUE,equal,TRUE,"[{'color': 'red', 'id': 83, 'isGood': False, 'src': 'stimuli/faces/face_083_red.png'}, {'color': 'blue', 'id': 20, 'isGood': True, 'src': 'stimuli/faces/face_020_blue.png'}, {'color': 'blue', 'id': 55, 'isGood': True, 'src': 'stimuli/faces/face_055_blue.png'}, {'color': 'blue', 'id': 85, 'isGood': True, 'src': 'stimuli/faces/face_085_blue.png'}]",FALSE,red,1,1,1,175,choice,103309,10,10,24,image-multi-choice,,
P1770483825689,,,,,equal,TRUE,,FALSE,red,,1,,,feedback,104320,,,25,html-keyboard-response,2.1.0,"
                <div class=""feedback positive"">
                    +1
                </div>
            "
P1770483825689,1,red,44,TRUE,equal,TRUE,"[{'color': 'blue', 'id': 85, 'isGood': True, 'src': 'stimuli/faces/face_085_blue.png'}, {'color': 'red', 'id': 44, 'isGood': True, 'src': 'stimuli/faces/face_044_red.png'}, {'color': 'blue', 'id': 39, 'isGood': True, 'src': 'stimuli/faces/face_039_blue.png'}, {'color': 'red', 'id': 58, 'isGood': True, 'src': 'stimuli/faces/face_058_red.png'}]",FALSE,red,1,1,1,127,choice,104448,11,11,26,image-multi-choice,,
P1770483825689,,,,,equal,TRUE,,FALSE,red,,1,,,feedback,105457,,,27,html-keyboard-response,2.1.0,"
                <div class=""feedback positive"">
                    +1
                </div>
            "
P1770483825689,1,blue,20,TRUE,equal,TRUE,"[{'color': 'blue', 'id': 90, 'isGood': True, 'src': 'stimuli/faces/face_090_blue.png'}, {'color': 'blue', 'id': 20, 'isGood': True, 'src': 'stimuli/faces/face_020_blue.png'}, {'color': 'red', 'id': 58, 'isGood': True, 'src': 'stimuli/faces/face_058_red.png'}, {'color': 'red', 'id': 36, 'isGood': True, 'src': 'stimuli/faces/face_036_red.png'}]",FALSE,red,1,1,1,137,choice,105594,12,12,28,image-multi-choice,,
P1770483825689,,,,,equal,TRUE,,FALSE,red,,1,,,feedback,106596,,,29,html-keyboard-response,2.1.0,"
                <div class=""feedback positive"">
                    +1
                </div>
            "
P1770483825689,1,red,44,TRUE,equal,TRUE,"[{'color': 'blue', 'id': 20, 'isGood': True, 'src': 'stimuli/faces/face_020_blue.png'}, {'color': 'red', 'id': 44, 'isGood': True, 'src': 'stimuli/faces/face_044_red.png'}, {'color': 'blue', 'id': 85, 'isGood': True, 'src': 'stimuli/faces/face_085_blue.png'}, {'color': 'blue', 'id': 39, 'isGood': True, 'src': 'stimuli/faces/face_039_blue.png'}]",FALSE,red,1,1,1,105,choice,106702,13,13,30,image-multi-choice,,
P1770483825689,,,,,equal,TRUE,,FALSE,red,,1,,,feedback,107704,,,31,html-keyboard-response,2.1.0,"
                <div class=""feedback positive"">
                    +1
                </div>
            "
P1770483825689,1,red,69,TRUE,equal,TRUE,"[{'color': 'blue', 'id': 90, 'isGood': True, 'src': 'stimuli/faces/face_090_blue.png'}, {'color': 'red', 'id': 69, 'isGood': True, 'src': 'stimuli/faces/face_069_red.png'}, {'color': 'red', 'id': 27, 'isGood': False, 'src': 'stimuli/faces/face_027_red.png'}, {'color': 'red', 'id': 60, 'isGood': True, 'src': 'stimuli/faces/face_060_red.png'}]",FALSE,red,1,1,1,214,choice,107918,14,14,32,image-multi-choice,,
